"","group","indval","pval","freq"
"ASV_2154",3,0.257142857142857,0.001,9
"ASV_2157",3,0.257142857142857,0.001,9
"ASV_1032",3,0.227632536836758,0.001,11
"ASV_2141",3,0.212490226461766,0.001,9
"ASV_2131",3,0.2,0.001,7
"ASV_2136",3,0.2,0.001,7
"ASV_2145",3,0.2,0.001,7
"ASV_2146",3,0.2,0.001,7
"ASV_2151",3,0.2,0.001,7
"ASV_2153",3,0.2,0.001,7
"ASV_2155",3,0.2,0.001,7
"ASV_2156",3,0.2,0.001,7
"ASV_2152",3,0.19981483930697,0.001,8
"ASV_2133",3,0.199796954314721,0.001,8
"ASV_2148",3,0.199775892428366,0.001,8
"ASV_2139",3,0.199664905271298,0.001,9
"ASV_2147",3,0.199582187105715,0.001,9
"ASV_2142",3,0.190170511534604,0.001,8
"ASV_2149",3,0.188587677725119,0.001,8
"ASV_2135",3,0.188235294117647,0.001,8
"ASV_2143",3,0.187568710359408,0.001,8
"ASV_2138",3,0.185443668993021,0.001,8
"ASV_2140",3,0.185272277227723,0.001,8
"ASV_2132",3,0.184848484848485,0.001,8
"ASV_1008",3,0.171428571428571,0.001,6
"ASV_1007",3,0.171352799980516,0.001,7
"ASV_1025",3,0.142857142857143,0.002,5
"ASV_1856",3,0.142857142857143,0.001,5
"ASV_173",3,0.133338513539765,0.002,7
"ASV_4128",3,0.130280370944624,0.003,8
"ASV_1026",3,0.114285714285714,0.001,4
"ASV_2890",3,0.114285714285714,0.003,4
"ASV_1260",3,0.109016225798095,0.016,13
"ASV_1524",3,0.100174452413258,0.002,5
"ASV_1023",3,0.0857142857142857,0.008,3
"ASV_3140",3,0.0839650145772595,0.008,5
"ASV_5680",3,0.0781277384651026,0.025,27
"ASV_6015",3,0.0705814335128142,0.037,28
"ASV_6069",3,0.0587072925708824,0.05,16
"ASV_6221",3,0.0479958089784026,0.047,9
"ASV_2113",4,0.290243902439024,0.001,10
"ASV_2114",4,0.289355410999409,0.001,10
"ASV_5087",4,0.233333333333333,0.001,7
"ASV_2112",4,0.184226397587567,0.001,7
"ASV_1239",4,0.180444516628937,0.026,49
"ASV_5054",4,0.16816305035161,0.002,39
"ASV_1855",4,0.156399726214921,0.001,6
"ASV_6278",4,0.13520888771598,0.003,9
"ASV_6119",4,0.134431262201441,0.032,151
"ASV_4913",4,0.130634761297557,0.002,7
"ASV_495",4,0.121054762868917,0.002,16
"ASV_5704",4,0.11836569579288,0.025,14
"ASV_5438",4,0.117787310933897,0.038,98
"ASV_799",4,0.117275465281649,0.006,15
"ASV_2165",4,0.1,0.005,3
"ASV_2166",4,0.1,0.003,3
"ASV_2880",4,0.1,0.003,3
"ASV_6073",4,0.096072900476096,0.011,17
"ASV_431",4,0.0893613100091007,0.011,10
"ASV_1085",4,0.089039580935601,0.003,8
"ASV_6352",4,0.0887323943661972,0.007,5
"ASV_3544",4,0.0868189806678383,0.022,6
"ASV_42",4,0.0837216930299966,0.012,20
"ASV_2436",4,0.081203007518797,0.008,5
"ASV_5041",4,0.074295558434098,0.036,12
"ASV_5806",4,0.0718339390397775,0.025,9
"ASV_1589",4,0.0707751642590732,0.03,19
"ASV_6298",4,0.0704014480636625,0.048,40
"ASV_708",4,0.0666666666666667,0.011,2
"ASV_2162",4,0.0666666666666667,0.008,2
"ASV_2163",4,0.0666666666666667,0.011,2
"ASV_2164",4,0.0666666666666667,0.011,2
"ASV_2964",4,0.0666666666666667,0.008,2
"ASV_3065",4,0.0666666666666667,0.012,2
"ASV_3273",4,0.0666666666666667,0.01,2
"ASV_4339",4,0.0666666666666667,0.01,2
"ASV_4937",4,0.0666666666666667,0.006,2
"ASV_5854",4,0.0666666666666667,0.009,2
"ASV_190",4,0.0663078579117331,0.019,6
"ASV_4545",4,0.0648011588095865,0.034,5
"ASV_2851",4,0.06378896882494,0.02,3
"ASV_5616",4,0.0637401229148376,0.02,3
"ASV_6149",4,0.0636415201361316,0.014,3
"ASV_4193",4,0.0636271529888551,0.022,3
"ASV_647",4,0.0633291614518148,0.015,3
"ASV_2672",4,0.0628606965174129,0.05,11
"ASV_4563",4,0.0628498727735369,0.017,4
"ASV_4333",4,0.0622950819672131,0.006,3
"ASV_927",4,0.0621468926553672,0.022,3
"ASV_2427",4,0.0608294930875576,0.029,5
"ASV_3678",4,0.0603921568627451,0.023,3
"ASV_6245",4,0.0602254428341385,0.048,5
"ASV_4393",4,0.0594612909639246,0.05,15
"ASV_28",4,0.0582984658298466,0.013,3
"ASV_859",4,0.058019887591872,0.038,4
"ASV_4319",4,0.0578545832851693,0.035,8
"ASV_5116",4,0.0560600835345059,0.049,11
"ASV_2054",4,0.0556655665566557,0.028,3
"ASV_5811",4,0.0549346732882133,0.048,11
"ASV_6429",4,0.053551912568306,0.02,3
"ASV_4909",4,0.0527214883463587,0.044,8
"ASV_3637",4,0.0526019690576653,0.038,4
"ASV_4088",4,0.0505747126436782,0.03,3
"ASV_1509",4,0.0458730433778086,0.05,4
"ASV_453",4,0.0452952862560954,0.041,4
"ASV_596",5,0.242424242424242,0.001,8
"ASV_782",5,0.22503428266645,0.001,232
"ASV_4204",5,0.212121212121212,0.001,7
"ASV_1742",5,0.208835887796619,0.001,25
"ASV_5738",5,0.192989389387238,0.002,279
"ASV_1924",5,0.181818181818182,0.001,6
"ASV_1086",5,0.180011902161081,0.001,58
"ASV_4065",5,0.172480485219827,0.001,12
"ASV_5293",5,0.172379117858691,0.001,7
"ASV_3995",5,0.168217609162491,0.001,25
"ASV_4218",5,0.166152385473534,0.001,7
"ASV_1916",5,0.16361373401292,0.001,45
"ASV_785",5,0.156030185428231,0.02,313
"ASV_5745",5,0.145781496867499,0.002,19
"ASV_5532",5,0.144608021590242,0.001,11
"ASV_3180",5,0.140377239115821,0.003,8
"ASV_1144",5,0.138865595125749,0.006,10
"ASV_3110",5,0.12456818008866,0.023,33
"ASV_1954",5,0.121212121212121,0.003,4
"ASV_3297",5,0.121212121212121,0.002,4
"ASV_5403",5,0.120093149268127,0.038,120
"ASV_1076",5,0.118085064790405,0.016,106
"ASV_4799",5,0.117845117845118,0.003,6
"ASV_1894",5,0.11196235748326,0.002,7
"ASV_3895",5,0.110226983796778,0.009,10
"ASV_1083",5,0.10826860382344,0.047,94
"ASV_4618",5,0.104405812724935,0.003,8
"ASV_944",5,0.102278712614662,0.016,17
"ASV_3113",5,0.100244435060112,0.034,14
"ASV_2383",5,0.0988344988344988,0.005,6
"ASV_1084",5,0.0975972000388798,0.022,61
"ASV_1167",5,0.0966498643286081,0.022,23
"ASV_1920",5,0.0942760942760943,0.003,6
"ASV_4812",5,0.0930016275284817,0.011,7
"ASV_141",5,0.0923619759236198,0.006,8
"ASV_2023",5,0.0909090909090909,0.008,3
"ASV_2507",5,0.0909090909090909,0.008,3
"ASV_3097",5,0.0909090909090909,0.006,3
"ASV_3290",5,0.0909090909090909,0.005,3
"ASV_3423",5,0.0909090909090909,0.008,3
"ASV_4462",5,0.0909090909090909,0.004,3
"ASV_5285",5,0.0909090909090909,0.008,3
"ASV_1811",5,0.089094208876423,0.006,4
"ASV_4945",5,0.0865038045654786,0.011,4
"ASV_638",5,0.0840442618328809,0.046,6
"ASV_3330",5,0.0836433165305058,0.015,6
"ASV_3157",5,0.0829049714074061,0.017,7
"ASV_3182",5,0.0825971158155963,0.005,8
"ASV_847",5,0.0818451045499417,0.039,5
"ASV_241",5,0.0818181818181818,0.006,4
"ASV_641",5,0.0817160367722165,0.018,4
"ASV_3225",5,0.0816883250997395,0.04,24
"ASV_2331",5,0.081008100810081,0.016,4
"ASV_245",5,0.0808080808080808,0.013,4
"ASV_5615",5,0.077416500774165,0.013,9
"ASV_3706",5,0.0763214587153989,0.024,13
"ASV_2018",5,0.075844814707592,0.031,11
"ASV_307",5,0.0755840807486109,0.049,31
"ASV_5042",5,0.0754650754650755,0.014,4
"ASV_6388",5,0.0754150630846069,0.049,6
"ASV_2978",5,0.0749123179415526,0.016,16
"ASV_1907",5,0.0738874432649989,0.012,7
"ASV_1443",5,0.0732856395044495,0.01,5
"ASV_834",5,0.0727272727272727,0.018,4
"ASV_1550",5,0.0727272727272727,0.025,5
"ASV_1472",5,0.0725351237854003,0.041,37
"ASV_951",5,0.0713731235401069,0.026,14
"ASV_4612",5,0.0712938679403987,0.015,10
"ASV_5942",5,0.0709885066227373,0.041,6
"ASV_6133",5,0.0709838107098381,0.011,5
"ASV_3338",5,0.0699593702386998,0.027,5
"ASV_710",5,0.0697476999319348,0.044,7
"ASV_3619",5,0.0689944426968648,0.022,5
"ASV_4575",5,0.0681077879774948,0.022,4
"ASV_5878",5,0.0679598257888268,0.041,10
"ASV_6404",5,0.0673548381379046,0.037,13
"ASV_6377",5,0.0670804965959151,0.034,5
"ASV_5746",5,0.0667726164755415,0.023,9
"ASV_458",5,0.0663412383184644,0.05,7
"ASV_1450",5,0.0655419347008132,0.028,5
"ASV_1612",5,0.0651737277795506,0.038,13
"ASV_370",5,0.0641711229946524,0.03,4
"ASV_4619",5,0.0632018509113481,0.012,7
"ASV_188",5,0.063169342429513,0.035,7
"ASV_5581",5,0.0618355391625081,0.05,6
"ASV_1680",5,0.060905442195964,0.038,6
"ASV_384",5,0.0606060606060606,0.037,2
"ASV_557",5,0.0606060606060606,0.05,2
"ASV_666",5,0.0606060606060606,0.039,2
"ASV_817",5,0.0606060606060606,0.042,2
"ASV_943",5,0.0606060606060606,0.043,2
"ASV_945",5,0.0606060606060606,0.035,2
"ASV_1030",5,0.0606060606060606,0.044,2
"ASV_1582",5,0.0606060606060606,0.039,2
"ASV_2006",5,0.0606060606060606,0.037,2
"ASV_2243",5,0.0606060606060606,0.05,2
"ASV_2433",5,0.0606060606060606,0.042,2
"ASV_2584",5,0.0606060606060606,0.035,2
"ASV_3006",5,0.0606060606060606,0.031,2
"ASV_3119",5,0.0606060606060606,0.043,2
"ASV_3192",5,0.0606060606060606,0.042,2
"ASV_3300",5,0.0606060606060606,0.045,2
"ASV_3576",5,0.0606060606060606,0.045,2
"ASV_3638",5,0.0606060606060606,0.043,2
"ASV_3834",5,0.0606060606060606,0.042,2
"ASV_3922",5,0.0606060606060606,0.032,2
"ASV_4037",5,0.0606060606060606,0.035,2
"ASV_4049",5,0.0606060606060606,0.048,2
"ASV_4118",5,0.0606060606060606,0.041,2
"ASV_4477",5,0.0606060606060606,0.041,2
"ASV_4487",5,0.0606060606060606,0.038,2
"ASV_4965",5,0.0606060606060606,0.044,2
"ASV_5016",5,0.0606060606060606,0.048,2
"ASV_5276",5,0.0606060606060606,0.043,2
"ASV_5546",5,0.0606060606060606,0.038,2
"ASV_6276",5,0.0606060606060606,0.032,2
"ASV_6309",5,0.0606060606060606,0.044,2
"ASV_6387",5,0.0606060606060606,0.048,2
"ASV_6516",5,0.0606060606060606,0.045,2
"ASV_5850",5,0.0605785255180097,0.041,9
"ASV_1898",5,0.0604108720050749,0.05,3
"ASV_6271",5,0.0596590909090909,0.047,6
"ASV_3661",5,0.0583891168214209,0.047,4
"ASV_775",5,0.0580808080808081,0.039,3
"ASV_6440",5,0.0575667371468599,0.038,8
"ASV_2059",5,0.0573219883564711,0.04,3
"ASV_709",5,0.0572333793244417,0.043,3
"ASV_3485",5,0.0570409982174688,0.04,3
"ASV_300",5,0.056969696969697,0.05,3
"ASV_1613",5,0.0568132637724951,0.035,10
"ASV_3994",5,0.0564652738565782,0.023,3
"ASV_692",5,0.0563866513233602,0.046,7
"ASV_2467",5,0.0561040909943555,0.036,3
"ASV_520",5,0.0550038197097021,0.036,3
"ASV_75",5,0.0548878501823061,0.034,4
"ASV_5651",5,0.0546269873624134,0.04,3
"ASV_1493",5,0.0541335686966755,0.034,3
"ASV_1794",5,0.053475935828877,0.035,3
"ASV_1061",5,0.0534617259920345,0.047,11
"ASV_1677",5,0.0534118160017441,0.035,3
"ASV_2055",5,0.0529285174198802,0.038,3
"ASV_6165",5,0.052610629423879,0.032,3
"ASV_2918",5,0.0525739320920044,0.048,4
"ASV_3260",5,0.0512543835985973,0.045,6
"ASV_4510",5,0.0502531549913096,0.041,4
"ASV_4468",5,0.0484848484848485,0.049,3
"ASV_4796",5,0.0480274442538594,0.035,3
"ASV_4941",5,0.0461133069828722,0.045,3
"ASV_5670",6,0.514538171581738,0.001,24
"ASV_3854",6,0.411418975650714,0.001,15
"ASV_3856",6,0.291231992051664,0.001,14
"ASV_4239",6,0.242338761379664,0.001,9
"ASV_5725",6,0.211126578999245,0.001,10
"ASV_5631",6,0.195037045482793,0.001,10
"ASV_201",6,0.181818181818182,0.001,6
"ASV_4248",6,0.181818181818182,0.001,6
"ASV_5702",6,0.178019535041919,0.003,29
"ASV_176",6,0.151515151515152,0.001,5
"ASV_4226",6,0.151515151515152,0.001,5
"ASV_4243",6,0.151515151515152,0.001,5
"ASV_4265",6,0.121212121212121,0.002,4
"ASV_5668",6,0.121212121212121,0.001,4
"ASV_5672",6,0.121212121212121,0.001,4
"ASV_177",6,0.120168824394177,0.001,6
"ASV_5708",6,0.120107934660739,0.009,6
"ASV_5669",6,0.118856017742676,0.001,5
"ASV_2998",6,0.113112222460856,0.003,5
"ASV_756",6,0.109814970562886,0.007,14
"ASV_723",6,0.0909090909090909,0.006,3
"ASV_4237",6,0.0909090909090909,0.005,3
"ASV_4242",6,0.0909090909090909,0.009,3
"ASV_4266",6,0.0909090909090909,0.007,3
"ASV_5671",6,0.0909090909090909,0.005,3
"ASV_5673",6,0.0909090909090909,0.004,3
"ASV_3313",6,0.0886363636363636,0.013,4
"ASV_4228",6,0.0811125850957924,0.016,8
"ASV_203",6,0.0606060606060606,0.046,2
"ASV_204",6,0.0606060606060606,0.046,2
"ASV_260",6,0.0606060606060606,0.039,2
"ASV_3309",6,0.0606060606060606,0.043,2
"ASV_4233",6,0.0606060606060606,0.031,2
"ASV_4234",6,0.0606060606060606,0.039,2
"ASV_4240",6,0.0606060606060606,0.043,2
"ASV_4251",6,0.0606060606060606,0.041,2
"ASV_4331",6,0.0606060606060606,0.035,2
"ASV_5667",6,0.0606060606060606,0.043,2
"ASV_6196",6,0.0606060606060606,0.034,2
"ASV_4238",6,0.0564350491357791,0.026,3
"ASV_649",7,0.496398945557632,0.001,74
"ASV_1204",7,0.419465058979847,0.006,206
"ASV_6505",7,0.392593082918061,0.001,82
"ASV_1277",7,0.307388929637848,0.001,86
"ASV_2120",7,0.272727272727273,0.001,9
"ASV_5931",7,0.272727272727273,0.001,9
"ASV_1301",7,0.262442833109382,0.001,30
"ASV_2115",7,0.242424242424242,0.001,8
"ASV_2117",7,0.242424242424242,0.001,8
"ASV_2119",7,0.242424242424242,0.001,8
"ASV_2121",7,0.242424242424242,0.001,8
"ASV_2122",7,0.242424242424242,0.001,8
"ASV_2123",7,0.242424242424242,0.001,8
"ASV_2124",7,0.242424242424242,0.001,8
"ASV_2125",7,0.242424242424242,0.001,8
"ASV_2126",7,0.242424242424242,0.001,8
"ASV_5165",7,0.235236367073242,0.001,36
"ASV_1313",7,0.232265955955121,0.001,16
"ASV_1721",7,0.230092011174616,0.001,13
"ASV_2561",7,0.2244551765501,0.001,14
"ASV_2116",7,0.212121212121212,0.001,7
"ASV_2118",7,0.212121212121212,0.001,7
"ASV_6507",7,0.211636936978363,0.001,10
"ASV_5168",7,0.197659777387837,0.001,12
"ASV_1272",7,0.197280834084727,0.001,29
"ASV_1935",7,0.194092044270254,0.001,39
"ASV_5170",7,0.189992931810573,0.001,15
"ASV_1723",7,0.187410747766679,0.001,21
"ASV_3811",7,0.183997165206078,0.001,10
"ASV_1316",7,0.18363802559415,0.001,13
"ASV_1188",7,0.182239377447736,0.015,115
"ASV_1210",7,0.174604677478097,0.036,246
"ASV_773",7,0.168712847451305,0.018,94
"ASV_1892",7,0.166651080109271,0.001,29
"ASV_1591",7,0.164891519003775,0.001,37
"ASV_3973",7,0.163628534519879,0.001,14
"ASV_1200",7,0.159116604353781,0.005,47
"ASV_908",7,0.153848276903357,0.001,16
"ASV_5188",7,0.151515151515152,0.001,5
"ASV_5163",7,0.151162567071177,0.003,6
"ASV_5209",7,0.14768307524609,0.001,7
"ASV_2954",7,0.141991287866948,0.002,9
"ASV_2879",7,0.138768364878728,0.002,16
"ASV_1535",7,0.136213271064409,0.001,7
"ASV_1399",7,0.134104627303172,0.003,31
"ASV_2593",7,0.133177462980791,0.001,12
"ASV_2560",7,0.129701621019292,0.002,15
"ASV_3967",7,0.129633740024896,0.002,23
"ASV_1951",7,0.129019357250601,0.002,15
"ASV_1391",7,0.128838180432825,0.002,13
"ASV_787",7,0.128168592002246,0.017,13
"ASV_4916",7,0.127600405113058,0.019,13
"ASV_5207",7,0.125642355128589,0.009,26
"ASV_5148",7,0.125092310965917,0.002,15
"ASV_5169",7,0.124988538659864,0.003,19
"ASV_6344",7,0.123582615108653,0.015,13
"ASV_3349",7,0.123030303030303,0.001,7
"ASV_1809",7,0.122327103823966,0.002,15
"ASV_2976",7,0.122271318807083,0.001,12
"ASV_923",7,0.122093300538927,0.008,27
"ASV_3776",7,0.122088848221404,0.001,20
"ASV_308",7,0.121212121212121,0.001,4
"ASV_4207",7,0.121212121212121,0.002,4
"ASV_5088",7,0.121212121212121,0.002,4
"ASV_3268",7,0.119703995753098,0.003,20
"ASV_2540",7,0.116003787878788,0.003,7
"ASV_5145",7,0.114523581194494,0.024,49
"ASV_5894",7,0.112765488617029,0.012,38
"ASV_5646",7,0.111905371247471,0.002,6
"ASV_654",7,0.11124908095863,0.006,26
"ASV_1419",7,0.109661095509027,0.003,26
"ASV_1720",7,0.108004164714837,0.004,14
"ASV_1347",7,0.107445909178777,0.012,8
"ASV_1804",7,0.106230847803882,0.001,5
"ASV_6347",7,0.106160869103648,0.01,6
"ASV_1199",7,0.105906113473733,0.018,40
"ASV_1947",7,0.105710593195051,0.019,32
"ASV_6373",7,0.105574164254407,0.004,12
"ASV_2546",7,0.103971784399906,0.002,10
"ASV_3836",7,0.103777501037775,0.002,7
"ASV_3474",7,0.103386809269162,0.002,5
"ASV_4206",7,0.103254769921437,0.001,5
"ASV_3790",7,0.102963220204868,0.036,52
"ASV_1744",7,0.102083333333333,0.005,17
"ASV_1481",7,0.10196080769655,0.005,21
"ASV_877",7,0.10134109910547,0.005,9
"ASV_950",7,0.100345159427728,0.004,13
"ASV_3100",7,0.100187542801986,0.011,54
"ASV_1373",7,0.0997394026884643,0.003,20
"ASV_5909",7,0.0997278992833368,0.015,31
"ASV_3541",7,0.0982190692834276,0.004,17
"ASV_1393",7,0.0958572505245147,0.02,39
"ASV_1937",7,0.0953632950501444,0.008,17
"ASV_2936",7,0.0953381399469863,0.006,7
"ASV_106",7,0.0953293856487231,0.014,10
"ASV_1724",7,0.0948863149026452,0.005,18
"ASV_5877",7,0.0946883574888547,0.007,9
"ASV_2417",7,0.0938967136150235,0.011,7
"ASV_4851",7,0.093199361380355,0.029,50
"ASV_5991",7,0.0930788654133456,0.018,11
"ASV_3055",7,0.091316754993885,0.002,7
"ASV_889",7,0.091121619467616,0.007,10
"ASV_1733",7,0.0909090909090909,0.008,3
"ASV_1786",7,0.0909090909090909,0.007,3
"ASV_3114",7,0.0909090909090909,0.008,3
"ASV_4983",7,0.0909090909090909,0.007,3
"ASV_5167",7,0.0909090909090909,0.005,3
"ASV_5171",7,0.0909090909090909,0.002,3
"ASV_5946",7,0.0909090909090909,0.01,3
"ASV_6510",7,0.0909090909090909,0.01,3
"ASV_1952",7,0.0899008993526952,0.008,12
"ASV_3798",7,0.0898340321430928,0.009,10
"ASV_5199",7,0.0897950916517571,0.015,4
"ASV_5622",7,0.0889469947717488,0.013,44
"ASV_3877",7,0.0888211693920586,0.002,8
"ASV_2801",7,0.0879120879120879,0.006,6
"ASV_1290",7,0.0863033486794286,0.016,31
"ASV_3860",7,0.0859524866074009,0.04,24
"ASV_2838",7,0.0853586746278698,0.016,4
"ASV_1736",7,0.0848484848484849,0.009,6
"ASV_3969",7,0.0846394984326019,0.021,4
"ASV_1492",7,0.0839564475928112,0.007,7
"ASV_4601",7,0.082795264813935,0.01,8
"ASV_1256",7,0.0826542889900945,0.008,13
"ASV_6370",7,0.0825426827206513,0.008,9
"ASV_5210",7,0.0824524312896406,0.018,5
"ASV_4625",7,0.0823010707537266,0.022,6
"ASV_3826",7,0.081008100810081,0.005,4
"ASV_379",7,0.0808080808080808,0.008,4
"ASV_1681",7,0.0808080808080808,0.018,8
"ASV_6277",7,0.0804924242424242,0.004,9
"ASV_5057",7,0.0797682575513784,0.018,19
"ASV_5051",7,0.0796536796536797,0.005,9
"ASV_113",7,0.079442803731644,0.016,11
